Age,Gender,Country,Education Level,Role,Programming Experience,ML Experience,Company Size,Company Data Scientists,Yearly Compensation,Spent Money (5years),Primary Tool,# of Languages,# of Visual tools,# of ML frameworks,# of ML algorithms
30-34,Man,United States of America,Master’s degree,Data Analyst,3-5 years,2-3 years,250-999 employees,20+,"80,000-89,999","$100,000 or more ($USD)","Local development environments (RStudio, JupyterLab, etc.)",2,1,1,2
30-34,Man,India,Bachelor’s degree,Other,< 1 years,Under 1 year,"10,000 or more employees",20+,"10,000-14,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,3,1,3
50-54,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Other,10-20 years,1-2 years,"1000-9,999 employees",5-9,"40,000-49,999",$0 ($USD),"Advanced statistical software (SPSS, SAS, etc.)",4,1,1,1
45-49,Man,United States of America,Master’s degree,Software Engineer,3-5 years,1-2 years,250-999 employees,20+,"150,000-199,999","$100,000 or more ($USD)","Local development environments (RStudio, JupyterLab, etc.)",6,4,6,5
18-21,Man,India,Bachelor’s degree,Student,1-2 years,Under 1 year,,,,,,5,2,3,4
30-34,Woman,India,Bachelor’s degree,Data Scientist,3-5 years,4-5 years,50-249 employees,20+,"20,000-24,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",1,3,3,2
30-34,Woman,Italy,Bachelor’s degree,Student,3-5 years,I do not use machine learning methods,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,2,0,0
18-21,Man,India,Bachelor’s degree,Student,1-2 years,Under 1 year,,,,,,2,1,1,0
35-39,Man,United States of America,Master’s degree,Machine Learning Engineer,20+ years,5-10 years,50-249 employees,1-2,"150,000-199,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",3,2,2,3
30-34,Woman,Spain,Master’s degree,Data Scientist,1-2 years,1-2 years,250-999 employees,0,"40,000-49,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,2,4,4
30-34,Man,Germany,Bachelor’s degree,Student,10-20 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",2,1,4,1
18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,1,3,2
18-21,Man,India,Bachelor’s degree,Student,3-5 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,2,6,5
40-44,Woman,United States of America,Bachelor’s degree,Data Analyst,< 1 years,Under 1 year,0-49 employees,1-2,"30,000-39,999",$0 ($USD),"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",2,2,1,1
18-21,Man,India,No formal education past high school,Student,3-5 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",2,5,4,4
18-21,Man,India,Bachelor’s degree,Student,1-2 years,,,,,,,6,0,0,0
18-21,Man,India,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,5-10 years,2-3 years,,,,,,3,1,0,0
22-24,Woman,Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years,2-3 years,0-49 employees,1-2,$0-999,$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",7,2,8,5
18-21,Man,Peru,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5,1,1,1
40-44,Man,Other,Doctoral degree,Data Scientist,20+ years,20 or more years,0-49 employees,1-2,"100,000-124,999","$10,000-$99,999",Other,5,1,1,2
22-24,Man,United States of America,Master’s degree,Data Analyst,3-5 years,Under 1 year,0-49 employees,0,"30,000-39,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,2,1,1
30-34,Man,Egypt,Bachelor’s degree,Other,10-20 years,3-4 years,"10,000 or more employees",3-4,"15,000-19,999",$100-$999,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",2,2,3,1
30-34,Woman,Germany,Doctoral degree,Data Scientist,5-10 years,5-10 years,0-49 employees,1-2,"50,000-59,999",$0 ($USD),"Advanced statistical software (SPSS, SAS, etc.)",3,5,1,2
30-34,Man,Other,Doctoral degree,Currently not employed,3-5 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1,1,4,1
25-29,Woman,Tunisia,Professional degree,Research Scientist,1-2 years,Under 1 year,0-49 employees,3-4,$0-999,$100-$999,,1,3,3,4
22-24,Woman,Romania,Master’s degree,Data Scientist,1-2 years,1-2 years,"1000-9,999 employees",3-4,"15,000-19,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,3,4,4
30-34,Woman,India,Master’s degree,Data Scientist,,,,,,,,0,0,0,0
18-21,Woman,India,Master’s degree,Student,1-2 years,Under 1 year,,,,,,4,3,1,2
18-21,Man,India,Bachelor’s degree,Student,1-2 years,I do not use machine learning methods,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,1,0,0
30-34,Man,Russia,Bachelor’s degree,Data Scientist,1-2 years,1-2 years,"10,000 or more employees",20+,"25,000-29,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",1,1,3,1
18-21,Man,United States of America,Master’s degree,Student,1-2 years,Under 1 year,,,,,,3,1,1,2
25-29,Man,India,Master’s degree,Other,1-2 years,1-2 years,50-249 employees,3-4,"10,000-14,999",$1-$99,"Local development environments (RStudio, JupyterLab, etc.)",2,2,1,1
18-21,Man,India,Bachelor’s degree,Statistician,1-2 years,,,,,,,2,0,0,0
25-29,Man,India,Bachelor’s degree,Currently not employed,I have never written code,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",0,0,0,0
40-44,Man,India,Master’s degree,Data Scientist,3-5 years,3-4 years,0-49 employees,1-2,"10,000-14,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",2,1,3,2
35-39,Man,India,Master’s degree,Data Scientist,5-10 years,5-10 years,0-49 employees,5-9,"4,000-4,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",3,4,4,6
18-21,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,3-5 years,1-2 years,,,,,,2,3,3,3
35-39,Man,United States of America,Bachelor’s degree,Currently not employed,< 1 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1,2,1,3
50-54,Man,United States of America,Doctoral degree,Data Scientist,20+ years,3-4 years,,,,,,4,3,0,0
30-34,Woman,India,Bachelor’s degree,Data Scientist,1-2 years,1-2 years,50-249 employees,,,,,1,5,4,3
40-44,Man,United States of America,Doctoral degree,Other,20+ years,3-4 years,50-249 employees,1-2,"300,000-500,000",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",1,2,3,4
18-21,Man,India,Master’s degree,Student,< 1 years,1-2 years,,,,,,1,2,4,4
40-44,Woman,India,Bachelor’s degree,Product/Project Manager,10-20 years,,,,,,,4,0,0,0
18-21,Man,India,Bachelor’s degree,Student,3-5 years,,,,,,,4,0,0,0
22-24,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Data Scientist,3-5 years,2-3 years,0-49 employees,0,,,,1,3,1,1
22-24,Woman,Indonesia,Bachelor’s degree,Data Scientist,3-5 years,1-2 years,0-49 employees,3-4,,,,3,2,2,4
25-29,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,1-2 years,1-2 years,"10,000 or more employees",20+,"60,000-69,999","$100,000 or more ($USD)","Local development environments (RStudio, JupyterLab, etc.)",3,4,5,3
22-24,Woman,India,Master’s degree,Data Scientist,< 1 years,Under 1 year,0-49 employees,1-2,$0-999,$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,5,5,4
35-39,Man,Germany,Bachelor’s degree,Student,10-20 years,1-2 years,,,,,,3,2,2,2
18-21,Woman,Taiwan,Some college/university study without earning a bachelor’s degree,Student,1-2 years,I do not use machine learning methods,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,1,0,0
25-29,Man,Colombia,Professional degree,Data Analyst,5-10 years,Under 1 year,"1000-9,999 employees",5-9,"10,000-14,999",$0 ($USD),"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",2,2,1,2
18-21,Man,India,Bachelor’s degree,Student,< 1 years,Under 1 year,,,,,,3,3,3,2
22-24,Woman,Nepal,Master’s degree,Currently not employed,1-2 years,,,,,,,5,0,0,0
50-54,Man,Italy,No formal education past high school,Currently not employed,10-20 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1,1,2,3
22-24,Man,Other,Bachelor’s degree,Student,5-10 years,1-2 years,,,,,"Advanced statistical software (SPSS, SAS, etc.)",4,1,3,2
18-21,Man,United States of America,Master’s degree,Software Engineer,3-5 years,I do not use machine learning methods,0-49 employees,3-4,"90,000-99,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",4,1,0,0
25-29,Man,India,Master’s degree,Student,< 1 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1,1,2,2
60-69,Man,Japan,Master’s degree,Product/Project Manager,< 1 years,Under 1 year,250-999 employees,1-2,"150,000-199,999",$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,1,1
25-29,Woman,United States of America,Master’s degree,Student,< 1 years,,,,,,,2,0,0,0
35-39,Man,Republic of Korea,Professional degree,Data Analyst,5-10 years,4-5 years,"10,000 or more employees",20+,"50,000-59,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",3,3,4,3
18-21,Man,Russia,Bachelor’s degree,Student,3-5 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,1,2,4
25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,,,,,,,,0,0,0,0
22-24,Man,India,Bachelor’s degree,Data Engineer,10-20 years,I do not use machine learning methods,"1000-9,999 employees",10-14,"10,000-14,999",$100-$999,Other,2,1,0,0
25-29,Man,Australia,Master’s degree,Student,1-2 years,Under 1 year,,,,,,3,2,2,2
30-34,Man,United States of America,Doctoral degree,Other,3-5 years,Under 1 year,250-999 employees,3-4,"125,000-149,999",$100-$999,"Advanced statistical software (SPSS, SAS, etc.)",1,3,1,1
30-34,Man,Chile,Master’s degree,Software Engineer,3-5 years,2-3 years,"1000-9,999 employees",3-4,"25,000-29,999",$0 ($USD),,4,4,3,4
50-54,Man,Japan,Bachelor’s degree,,,,,,,,,0,0,0,0
25-29,Woman,Saudi Arabia,Professional degree,Data Scientist,1-2 years,Under 1 year,,,,,,6,3,2,0
18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,Under 1 year,0-49 employees,5-9,$0-999,$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,3,6,4
40-44,Woman,United States of America,Master’s degree,Statistician,1-2 years,1-2 years,0-49 employees,1-2,"40,000-49,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",2,3,1,3
25-29,Man,India,Bachelor’s degree,Software Engineer,3-5 years,Under 1 year,0-49 employees,0,$0-999,$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",5,3,1,1
30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years,2-3 years,"10,000 or more employees",20+,"200,000-249,999","$100,000 or more ($USD)","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",2,1,2,3
18-21,Man,United States of America,Master’s degree,Student,3-5 years,2-3 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",2,3,3,2
18-21,Man,India,Bachelor’s degree,Student,1-2 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,1,1,2
22-24,Man,United States of America,Bachelor’s degree,Data Analyst,,,,,,,,0,0,0,0
18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Under 1 year,0-49 employees,20+,$0-999,$0 ($USD),Other,1,1,3,3
22-24,Woman,India,Doctoral degree,Currently not employed,< 1 years,,,,,,,3,0,0,0
22-24,Man,Canada,Master’s degree,Student,1-2 years,Under 1 year,,,,,,2,1,2,1
18-21,Man,India,Bachelor’s degree,Student,,,,,,,,0,0,0,0
50-54,Man,Japan,Master’s degree,Product/Project Manager,20+ years,2-3 years,0-49 employees,3-4,"125,000-149,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,2,5,3
25-29,Man,India,Master’s degree,Data Scientist,3-5 years,4-5 years,"1000-9,999 employees",5-9,$0-999,"$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",2,3,2,3
18-21,Man,India,Bachelor’s degree,Student,< 1 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,4,6,6
22-24,Man,India,Bachelor’s degree,Software Engineer,I have never written code,,"10,000 or more employees",0,"2,000-2,999",$0 ($USD),,0,0,0,0
40-44,Man,Other,Bachelor’s degree,Other,I have never written code,,0-49 employees,0,$0-999,$1-$99,"Local development environments (RStudio, JupyterLab, etc.)",0,0,0,0
18-21,Man,Brazil,Bachelor’s degree,Software Engineer,1-2 years,2-3 years,0-49 employees,3-4,"4,000-4,999",$100-$999,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",4,4,5,3
18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,1-2 years,"10,000 or more employees",20+,$0-999,$0 ($USD),"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",4,3,4,5
35-39,Woman,United States of America,Some college/university study without earning a bachelor’s degree,Student,< 1 years,I do not use machine learning methods,,,,,Other,2,1,0,0
22-24,Man,Kenya,Bachelor’s degree,Student,3-5 years,1-2 years,,,,,,1,1,1,1
55-59,Woman,Brazil,Doctoral degree,Currently not employed,I have never written code,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",0,0,0,0
25-29,Man,India,Master’s degree,Student,< 1 years,,,,,,,1,0,0,0
22-24,Man,Italy,Master’s degree,Machine Learning Engineer,5-10 years,1-2 years,50-249 employees,3-4,"5,000-7,499",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",1,2,2,3
25-29,Man,India,Bachelor’s degree,Data Engineer,3-5 years,Under 1 year,"10,000 or more employees",20+,"20,000-24,999",$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,2,2,1
22-24,Man,Spain,Master’s degree,Student,3-5 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1,2,1,4
40-44,Man,United States of America,Master’s degree,Statistician,10-20 years,3-4 years,"10,000 or more employees",20+,"150,000-199,999","$100,000 or more ($USD)","Advanced statistical software (SPSS, SAS, etc.)",3,4,3,4
25-29,Woman,Japan,Master’s degree,Research Scientist,1-2 years,,,,,,,5,2,0,0
22-24,Man,United States of America,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,,,,,2,0,0,0
22-24,Man,Russia,Master’s degree,Data Analyst,1-2 years,1-2 years,"1000-9,999 employees",3-4,"10,000-14,999",$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,1,4,4
45-49,Man,Other,Professional degree,Software Engineer,10-20 years,I do not use machine learning methods,0-49 employees,0,$0-999,$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,1,0,0
18-21,Woman,Turkey,Bachelor’s degree,Student,< 1 years,I do not use machine learning methods,,,,,,2,1,0,0
18-21,Man,India,Bachelor’s degree,Student,< 1 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",2,5,3,3
55-59,Man,Germany,Doctoral degree,Business Analyst,20+ years,20 or more years,"10,000 or more employees",3-4,"125,000-149,999","$1000-$9,999",,6,2,3,3
22-24,Man,India,Bachelor’s degree,Data Analyst,1-2 years,Under 1 year,,,,,,1,2,0,0
22-24,Man,India,Master’s degree,Student,< 1 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",2,2,4,5
50-54,Man,United States of America,Master’s degree,Software Engineer,20+ years,1-2 years,"10,000 or more employees",20+,"100,000-124,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",3,1,1,1
18-21,Man,India,Master’s degree,Student,< 1 years,I do not use machine learning methods,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,0,0
60-69,Man,United States of America,Master’s degree,Other,20+ years,2-3 years,250-999 employees,3-4,"150,000-199,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",3,3,6,6
40-44,Man,Turkey,I prefer not to answer,Other,I have never written code,,50-249 employees,0,"20,000-24,999",$0 ($USD),,0,0,0,0
18-21,Woman,India,Bachelor’s degree,Student,3-5 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,3,2,4
22-24,Man,Japan,Bachelor’s degree,Student,5-10 years,,,,,,,6,1,0,0
18-21,Woman,India,Bachelor’s degree,,,,,,,,,0,0,0,0
25-29,Man,India,Master’s degree,Other,5-10 years,Under 1 year,"10,000 or more employees",20+,"10,000-14,999",$1-$99,"Local development environments (RStudio, JupyterLab, etc.)",3,3,4,4
40-44,Man,South Korea,Bachelor’s degree,Currently not employed,1-2 years,Under 1 year,,,,,,1,1,1,0
25-29,Man,India,Master’s degree,Data Scientist,1-2 years,,,,,,,3,0,0,0
50-54,Man,Other,Doctoral degree,Research Scientist,I have never written code,,"1000-9,999 employees",15-19,$0-999,$0 ($USD),Other,0,0,0,0
18-21,Man,India,Bachelor’s degree,Student,3-5 years,,,,,,,4,0,0,0
18-21,Woman,India,Bachelor’s degree,Student,< 1 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",2,2,3,2
30-34,Man,Mexico,Master’s degree,Data Analyst,< 1 years,I do not use machine learning methods,"1000-9,999 employees",1-2,"25,000-29,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,0,0
22-24,Man,China,Master’s degree,Student,3-5 years,2-3 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1,3,6,5
22-24,Man,United States of America,Master’s degree,Business Analyst,3-5 years,1-2 years,250-999 employees,15-19,"60,000-69,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",4,3,1,2
25-29,Man,Ireland,Master’s degree,Data Analyst,< 1 years,I do not use machine learning methods,"1000-9,999 employees",0,"50,000-59,999",$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,0,0
